index_id;nom;provincia_romana;pais;amplada_arena;alcada_arena;amplada_general;alcada_general;nombre_places;amplada_cavea;ratio_arena;ratio_general;superficie_arena;superficie_general;superficie_cavea;perimetre_arena;perimetre_general;ratio_cavea;bib
#010;CARMO;hispania_baetica;spain;58.8;NA;131.2;111.4;24195;36.2;NA;1.17773788150808;NA;11479.1282288048;NA;NA;381.075188880442;NA;1988_golvin
#011;UCUBI;hispania_baetica;spain;35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1988_golvin
#031;TOMEN Y MUR;britania;wales;35;28;52;46;2772;8.5;1.25;1.1304347826087;769.690200129499;1878.6724068467;1108.9822067172;98.9601685880785;153.9380400259;0.409698996655518;1988_golvin
#032;CHARTERHOUSE;britania;england;35;24;50;39;2179;7.5;1.45833333333333;1.28205128205128;659.734457253857;1531.52641862502;871.791961371168;92.6769832808989;139.800873084746;0.430769230769231;1988_golvin
#033;CORINIUM DOBUNNORUM;britania;england;49;41;89;81;10210;20;1.19512195121951;1.09876543209877;1577.86491026547;5661.9353599322;4084.07044966673;141.371669411541;267.035375555132;0.278679428492163;1988_golvin
#034;DURNOVARIA;britania;england;58;47;88;77;7952;15;1.23404255319149;1.14285714285714;2140.99539342144;5321.85795518111;3180.86256175967;164.933614313464;259.181393921158;0.402302243211334;1988_golvin
#035;NOV. REGENSIUM;britania;england;56;47;88;NA;NA;NA;1.19148936170213;NA;2067.16796606208;NA;NA;161.792021659874;NA;NA;1988_golvin
#040;CALLEVA ATREBATUM;britania;england;49;40;80;70;7147;15.5;1225;1.14285714285714;1539.380400259;4398.22971502571;2858.84931476671;139.800873084746;235.619449019234;0.35;1988_golvin
#077;EMERITA AUGUSTA;hispania_lusitania;spain;64.5;41.2;126.3;102.6;20225;30.9;1.56553398058252;1.23099415204678;2087.11707941238;10177.4878526062;8090.37077319385;166.033171742221;359.555279203352;0.205071930287582;1988_golvin
#088;SEGOBRIGA;hispania_tarraconensis;spain;40.5;34;75;68.5;7383;17.25;1.19117647058824;1.09489051094891;1081.49327099829;4034.98306445439;2953.4897934561;117.02432634622;225.409272895068;0.268029197080292;1988_golvin
#093;EMPORIAE;hispania_tarraconensis;spain;75;43;88;56;3343;6.5;1.74418604651163;1.57142857142857;2532.90907695677;3870.44214922263;1337.53307226585;185.353966561798;226.194671058465;0.654423701298701;1988_golvin
#101;CONIMBRIGA;hispania_lusitania;portugal;54;40;94;80;10524;20;1.35;1175;1696.46003293849;5906.19418874881;4209.73415581032;147.65485471872;273.318560862312;0.287234042553191;1988_golvin
#107;DEVA 2;britania;england;56.7;48.3;95.5;86.6;10861;19.4;1.17391304347826;1.10277136258661;2150.89926426189;6495.47843074592;4344.57916648403;164.933614313464;286.042011109351;0.331137927281961;1988_golvin
#108;ISCA SILURUM;britania;wales;55.2;41;80.1;66.6;6036;12.45;1.34634146341463;1.2027027027027;1777.51312340111;4189.83216634983;2412.31904294873;151.110606637669;230.435821140811;0.42424446918829;1988_golvin
#128;VENTA SILURUM;britania;wales;44;35;63;53;3532;9.5;1.25714285714286;1.18867924528302;1209.51317163207;2622.44446758408;1412.93129595201;124.092909816797;182.212373908208;0.461215932914046;1988_golvin
#139;TARRACO;hispania_tarraconensis;spain;84.4;55.2;148.1;118.9;25427;31.85;1.52898550724638;1.24558452481077;3659.0757954891;13830.1469451004;10171.0711496113;219.283167220568;419.402619254237;0.264572445254127;1988_golvin
#175;ITALICA;hispania_baetica;spain;71.5;49;156.5;134;34297;42.5;1.45918367346939;1.16791044776119;2751.64246546296;16470.5848846079;13718.9424191449;189.280957378785;456.316332933917;0.167064040818273;1988_golvin
