"place";"phase";"nom";"hackett_class";"index_id";"vasa_class";"t_building";"dinasty_gr";"amplada_general";"alcada_general";"overall_m2";"amplada_arena";"alcada_arena";"arena_m2";"amplada_cavea";"cavea_height";"cavea_m2";"nombre_places";"pais";"lat";"long";"elevation_m";"bib";"provincia_romana";"ratio_arena";"ratio_general";"superficie_arena";"superficie_general";"superficie_cavea";"perimetre_arena";"perimetre_general";"ratio_cavea"
"carmo";NA;"CARMO";"hispb#02";"#010";"hisbae#02";"amphitheater";"caesarean";108;98;NA;58.8;38.6;NA;NA;NA;7442;18605;"spain";"37469587";"-5650787";220;"2015_jimenez";"hispania_baetica";1.52331606217617;1.10204081632653;1782.60250349992;8312.65416139859;6530.05165789867;152.995562229823;323.584043319749;0.214444444444444
"carmo";NA;"CARMO";"hispb#02";"#010";"hisbae#02";"amphitheater";"caesarean";130;111;NA;58.8;38.6;NA;NA;NA;NA;NA;"spain";"37469587";"-5650787";220;"2014_gonzalez";"hispania_baetica";1.52331606217617;1.17117117117117;1782.60250349992;11333.2954978252;9550.69299432526;152.995562229823;378.56191475757;0.157288981288981
"carmo";NA;"CARMO";"hispb#02";"#010";"hisbae#02";"amphitheater";"caesarean";NA;NA;NA;58.8;39;NA;NA;NA;NA;NA;"spain";"37469587";"-5650787";220;"2014_gonzalez";"hispania_baetica";1.50769230769231;NA;1801.07506830303;NA;NA;153.623880760541;NA;NA
"carmo";NA;"CARMO";"hispb#02";"#010";"hisbae#02";"amphitheater";"caesarean";131.2;111.4;NA;58;39;NA;NA;NA;NA;NA;"spain";"37469587";"-5650787";220;"2014_golvin";"hispania_baetica";1.48717948717949;1.17773788150808;1776.57064560503;11479.1282288048;9702.55758319979;152.367243699105;381.075188880442;0.154765293164601
"carmo";NA;"CARMO";"hispb#02";"#010";"hisbae#02";"amphitheater";"caesarean";108;98;NA;58.8;38.6;NA;29.6;NA;NA;18350;"spain";"37469587";"-5650787";220;"2011_amphitheatrum_de";"hispania_baetica";1.52331606217617;1.10204081632653;1782.60250349992;8312.65416139859;6530.05165789867;152.995562229823;323.584043319749;0.214444444444444
"carmo";NA;"CARMO";"hispb#02";"#010";"hisbae#02";"amphitheater";"caesarean";108;98;NA;58;39;NA;29.6;NA;NA;18350;"spain";"37469587";"-5650787";220;"2011_amphitheatrum_de";"hispania_baetica";1.48717948717949;1.10204081632653;1776.57064560503;8312.65416139859;6536.08351579356;152.367243699105;323.584043319749;0.213718820861678
"carmo";NA;"CARMO";"hispb#02";"#010";"hisbae#02";"amphitheater";"caesarean";90;NA;NA;58;39;NA;NA;NA;NA;NA;"spain";"37469587";"-5650787";220;"2007_welch";"hispania_baetica";1.48717948717949;NA;1776.57064560503;NA;NA;152.367243699105;NA;NA
"carmo";NA;"CARMO";"hispb#02";"#010";"hisbae#02";"amphitheater";"caesarean";131;111;NA;58;39;NA;NA;NA;9644;NA;"spain";"37469587";"-5650787";220;"2016_stelius";"hispania_baetica";1.48717948717949;1.18018018018018;1776.57064560503;11420.4746939623;9643.90404835727;152.367243699105;380.132711084365;0.155560140292965
"carmo";NA;"CARMO";"hispb#02";"#010";"hisbae#02";"amphitheater";"caesarean";131.2;111.4;11479.12;NA;NA;1801.07;NA;NA;9678.05;31108;"spain";"37469587";"-5650787";220;"2019_hackett";"hispania_baetica";NA;1.17773788150808;NA;11479.1282288048;NA;NA;381.075188880442;NA
"carmo";NA;"CARMO";"hispb#02";"#010";"hisbae#02";"amphitheater";"caesarean";NA;NA;NA;NA;NA;NA;NA;NA;NA;8000;"spain";"37469587";"-5650787";220;"2016_sfsheath_com";"hispania_baetica";NA;NA;NA;NA;NA;NA;NA;NA
"carmo";NA;"CARMO";"hispb#02";"#010";"hisbae#02";"amphitheater";"caesarean";NA;NA;NA;55;39;NA;NA;NA;NA;NA;"spain";"37469587";"-5650787";220;"2020_wikipedia_es";"hispania_baetica";1.41025641025641;NA;1684.67906048753;NA;NA;147.65485471872;NA;NA
"ucubi";NA;"UCUBI";NA;"#011";"hisbae#10";"amphitheater";"undated";NA;NA;NA;35;NA;NA;NA;NA;NA;NA;"spain";NA;NA;NA;"2016_stelius";"hispania_baetica";NA;NA;NA;NA;NA;NA;NA;NA
"tomen_y_mur";NA;"TOMEN Y MUR";"brit#16";"#031";"brit#16";"amphitheater";"flavian";NA;NA;NA;37;32;NA;NA;NA;NA;NA;"wales";"52.931.893";"-39.235";294;"2009_sommer";"britania";1.15625;NA;929.911425462579;NA;NA;108.384946548848;NA;NA
